Gene_name,GSM627071,GSM627072,GSM627073,GSM627074,GSM627075,GSM627076,GSM627077,GSM627078,GSM627079,GSM627080,GSM627081,GSM627082,GSM627083
1007_s_at,179.823156,159.9802499,159.9002074,113.3585186,145.8010198,123.598892,127.3115059,138.5624947,108.829661,115.8063859,122.6997075,194.9072574,138.8956879
1053_at,118.4835531,135.384522,133.0696727,133.8482067,96.86039626,133.6307299,184.4833748,126.2090015,150.1325511,144.5445096,167.3310074,121.9328462,116.1202683
117_at,1185.853438,827.1355697,894.2751643,1717.030558,798.728842,1142.722987,1649.839537,892.9533517,2597.377511,1303.802833,947.9985222,1121.186062,1029.130342
121_at,133.9321958,161.661239,140.2309512,181.7773958,173.5573917,164.4051862,102.9539948,132.2334171,126.4795211,139.8177778,138.6797182,111.9019991,126.0254242
1255_g_at,7.221822691,9.38267309,7.441043743,8.197255694,7.612529955,8.150852731,8.447596934,7.236895804,7.521325846,8.070382207,7.963016241,7.038046276,8.234037391
1294_at,992.3340174,785.1851078,882.2098144,803.7577873,1078.843587,910.6481924,1195.219603,930.0129532,781.9925213,1165.901343,658.5604213,1023.473477,1172.026927
1316_at,32.6417613,34.58541829,35.26492338,42.30622341,44.22008827,39.3694049,32.0165289,41.50070674,35.13948153,37.84825812,33.12631912,35.61665193,36.67171927
1320_at,18.75760852,19.58767148,22.18125363,18.23848512,20.90827305,17.30078986,19.79033324,17.92135729,15.66286256,18.91570969,16.12816055,18.98472242,22.1682042
1405_i_at,1783.295415,1414.856479,1644.074546,1095.466765,4414.211376,1319.842441,892.6519748,4602.17459,1326.556125,698.6949972,1408.535295,1561.492582,1470.407179
1431_at,9.886864088,12.37173559,9.956136431,10.07963855,11.93997574,12.95267347,10.27714049,12.44869839,11.51237032,13.88460279,12.62996731,10.90715548,11.77650061
1438_at,30.4888536,33.81138011,24.66324969,35.19979203,23.52461162,29.64471455,19.9879,25.00821185,25.25020158,38.53279683,32.12215994,22.63788073,26.74796074
1487_at,216.9561993,217.5270493,217.651477,248.6147359,284.7576914,232.1961112,230.5557761,223.3392493,223.6269109,308.9301784,237.9802436,204.6193825,267.6739625
1494_f_at,36.18949322,33.50998185,32.76839259,46.4493982,39.3669217,30.04656161,32.87625356,29.64192013,32.83521507,33.25427701,29.52665456,30.17081995,37.88652723
1552256_a_at,100.362465,91.38611012,84.67498963,102.7383501,70.78535488,100.313572,75.1835952,130.795038,92.60922465,118.9242404,132.0320164,97.8459343,92.69997213
1552257_a_at,267.1786652,228.5770898,240.0245228,231.7679071,198.3103273,218.6356726,234.0805088,285.6658957,232.3807897,312.0983673,219.1392351,295.2804436,321.6567157
1552258_at,21.99212337,22.94145519,21.25483273,28.21657548,23.98962997,21.62904408,21.33002867,30.00071543,21.79630985,35.85717686,18.21758731,20.71474277,24.24894372
1552261_at,33.19244502,33.25425396,31.47431337,35.45902592,39.17156871,25.88596148,24.52661107,34.12402688,26.22931089,29.72477532,27.27824644,23.98066897,23.83840822
1552263_at,530.5095824,770.8252389,626.3980885,886.4601701,914.4363859,874.9380134,535.0696911,620.6237084,682.4095375,419.1038604,716.8621946,447.0560774,734.3077417
1552264_a_at,742.0661559,740.4025224,681.199705,1257.881236,530.8866306,987.9580677,821.9882722,671.4466667,916.9364892,1074.84283,776.7163365,513.1251755,691.1672266
1552266_at,5.727073028,6.584856495,5.69635082,6.129324133,6.857163872,6.304670617,7.816555505,6.014554998,6.245434739,7.212252969,6.256986538,7.370558792,7.601014571
1552269_at,6.973606696,6.942715242,7.323254837,8.979773153,6.723362795,6.378773272,6.954785405,6.012137481,7.142623122,9.065452289,6.583277446,7.796194049,7.716961991
1552271_at,42.63537379,38.24430433,53.87802269,43.30032655,46.97440556,43.98424674,32.32418298,47.86134384,45.80496241,42.63342337,42.41750915,42.44286088,39.57844428
1552272_a_at,51.20926687,47.82639021,48.64808128,61.95449271,66.16590092,53.00244472,38.94242985,63.4216717,46.72377711,47.94541658,42.94987418,49.54972001,76.23840333
1552274_at,146.404897,139.5305285,98.66804373,96.77100904,87.89395252,199.1006333,123.0759444,79.94445135,144.0548077,101.6706883,124.6448098,160.4953846,59.49011244
1552275_s_at,268.2668537,274.6997905,217.8939003,205.7263814,75.55639692,217.2589801,210.2316397,103.2125791,350.6322776,229.8215065,227.9533814,131.718849,126.8526634
1552276_a_at,35.91570675,39.61154314,32.82998078,50.38240201,40.54058495,35.60537149,29.84983393,39.61975352,39.75686242,47.21734445,39.91997743,38.72126016,40.40217344
1552277_a_at,103.1063231,82.65687982,106.4058751,77.21386367,87.70401596,82.06260234,82.2472764,84.69477123,85.66660441,82.50250391,103.0499504,79.23253192,79.21874825
1552278_a_at,24.41820084,26.43629326,16.06003353,18.23485724,20.53047356,24.21204446,18.21290312,16.99303925,15.42004425,31.25482458,20.67221393,18.03740636,22.2221269
